"@title", "Français"
"@language", "fr-EU"
"@scale", "auto"
"@appli", "135 - Ne pas changer"
"@version", "1.11 - Ne pas changer"
"@author", "Votre nom"
"# 00000", "Dépliants"
"# 00001", "Faites largement la promotion de votre parc aquatique."
"# 00002", "Annonces magazine"
"# 00003", "Bons de réduction"
"# 00004", "Annonces en ligne"
"# 00005", "Publicités"
"# 00006", "Navette gratuite"
"# 00007", "Un service de bus local gratuit vers votre parc aquatique."
"# 00008", "Investissement d'attraction 1"
"# 00009", "Investissez dans le développement de nouvelles attractions du parc."
"# 00010", "= MID (# 00008,1, -1) & '2'"
"# 00011", "= MID (# 00008,1, -1) & '3'"
"# 00012", "= MID (# 00008,1, -1) & '4'"
"# 00013", "= MID (# 00008,1, -1) & '5'"
"# 00014", "= MID (# 00008,1, -1) & '6'"
"# 00015", "= MID (# 00008,1, -1) & '7'"
"# 00016", "= MID (# 00008,1, -1) & '8'"
"# 00017", "= MID (# 00008,1, -1) & '9'"
"# 00018", "= MID (# 00008,1, -1) & '10'"
"# 00019", "= MID (# 00008,1, -1) & '11'"
"# 00020", "Salon Fac. Investissement 1"
"# 00021", "Investissez dans le développement de nouveaux salons."
"# 00022", "= MID (# 00020,1, -1) & '2'"
"# 00023", "= MID (# 00020,1, -1) & '3'"
"# 00024", "= MID (# 00020,1, -1) & '4'"
"# 00025", "= MID (# 00020,1, -1) & '5'"
"# 00026", "= MID (# 00020,1, -1) & '6'"
"# 00027", "= MID (# 00020,1, -1) & '7'"
"# 00028", "= MID (# 00020,1, -1) & '8'"
"# 00029", "= MID (# 00020,1, -1) & '9'"
"# 00030", "= MID (# 00020,1, -1) & '10'"
"# 00031", "= MID (# 00020,1, -1) & '11'"
"# 00032", "= MID (# 00020,1, -1) & '12'"
"# 00033", "= MID (# 00020,1, -1) & '13'"
"# 00034", "Ensemble de maillots de bain standard"
"# 00035", "Investissez dans la conception de nouveaux maillots de bain."
"# 00036", "Ensemble de maillots de bain élégant"
"# 00037", "Ensemble de maillots de bain à motifs"
"# 00038", "Ensemble de maillots de bain séduisant"
"# 00039", "Ensemble de maillots de bain simples"
"# 00040", "Ensemble de maillots de bain UV Block"
"# 00041", "Ensemble de maillots de bain naturels"
"# 00042", "Extension 1"
"# 00043", "Développez votre parc."
"# 00044", "= MID (# 00042,1, -1) & '2'"
"# 00045", "= MID (# 00042,1, -1) & '3'"
"# 00046", "= MID (# 00042,1, -1) & '4'"
"# 00047", "= MID (# 00042,1, -1) & '5'"
"# 00048", "= MID (# 00042,1, -1) & '6'"
"# 00049", "= MID (# 00042,1, -1) & '7'"
"# 00050", "Certification d'entrée"
"# 00051", "Le premier test à passer."
"# 00052", "Voyons si votre parc est populaire."
"# 00053", "La popularité est vitale."
"# 00054", "La taille doit être d'au moins 20!"
"# 00055", "Certificat de catégorie C"
"# 00056", "Un test de certification commun."
"# 00057", "Il doit être populaire."
"# 00058", "Une popularité de 100 suffira."
"# 00059", "La taille doit être d'au moins 30!"
"# 00060", "Certificat de catégorie B"
"# 00061", "Une popularité de 150 suffira."
"# 00062", "La taille doit être d'au moins 40!"
"# 00063", "Certificat de catégorie A"
"# 00064", "Essayez-le si vous avez 200 Popularité."
"# 00065", "La taille doit être d'au moins 50!"
"# 00066", "Kairo Pool Cert"
