"""@title"",""Français"""
"""@language"",""fr-EU"""
"""@scale"",""auto"""
"""@appli"",""135 - Ne pas changer"""
"""@version"",""1.11 - Ne pas changer"""
"""@auteur"",""Votre nom"""
"""#00000"",""Dépliants"""
"""#00001"", ""Annoncez largement votre parc aquatique."""
"""#00002"",""Annonces dans les magazines"""
"""#00003"",""Bons de réduction"""
"""#00004"",""Annonces en ligne"""
"""#00005"",""Publicités"""
"""#00006"",""Navette gratuite"""
"""#00007"",""Un service de bus local gratuit vers votre parc aquatique."""
"""#00008"",""Attraction Investissement 1"""
"""#00009"",""Investir dans le développement de nouvelles attractions du parc."""
"""#00010"",""=MID(#00008,1,-1)&'2'"""
"""#00011"",""=MID(#00008,1,-1)&'3'"""
"""#00012"",""=MID(#00008,1,-1)&'4'"""
"""#00013"",""=MID(#00008,1,-1)&'5'"""
"""#00014"",""=MID(#00008,1,-1)&'6'"""
"""#00015"",""=MID(#00008,1,-1)&'7'"""
"""#00016"",""=MID(#00008,1,-1)&'8'"""
"""#00017"",""=MID(#00008,1,-1)&'9'"""
"""#00018"",""=MID(#00008,1,-1)&'10'"""
"""#00019"",""=MID(#00008,1,-1)&'11'"""
"""#00020"",""Salon Fac. Investissement 1"""
"""#00021"",""Investir dans le développement de nouvelles installations de salons."""
"""#00022"",""=MID(#00020,1,-1)&'2'"""
"""#00023"",""=MID(#00020,1,-1)&'3'"""
"""#00024"",""=MID(#00020,1,-1)&'4'"""
"""#00025"",""=MID(#00020,1,-1)&'5'"""
"""#00026"",""=MID(#00020,1,-1)&'6'"""
"""#00027"",""=MID(#00020,1,-1)&'7'"""
"""#00028"",""=MID(#00020,1,-1)&'8'"""
"""#00029"",""=MID(#00020,1,-1)&'9'"""
"""#00030"",""=MID(#00020,1,-1)&'10'"""
"""#00031"",""=MID(#00020,1,-1)&'11'"""
"""#00032"",""=MID(#00020,1,-1)&'12'"""
"""#00033"",""=MID(#00020,1,-1)&'13'"""
"""#00034"",""Ensemble de maillots de bain standard"""
"""#00035"",""Investir dans la conception de nouveaux maillots de bain."""
"""#00036"",""Ensemble de maillots de bain élégants"""
"""#00037"",""Ensemble de maillots de bain à motifs"""
"""#00038"",""Ensemble de maillots de bain séduisants"""
"""#00039"",""Ensemble maillot de bain simple"""
"""#00040"",""Ensemble maillot de bain bloc UV"""
"""#00041"",""Ensemble maillot de bain naturel"""
"""#00042"",""Extension 1"""
"""#00043"",""Agrandissez votre parc."""
"""#00044"",""=MID(#00042,1,-1)&'2'"""
"""#00045"",""=MID(#00042,1,-1)&'3'"""
"""#00046"",""=MID(#00042,1,-1)&'4'"""
"""#00047"",""=MID(#00042,1,-1)&'5'"""
"""#00048"",""=MID(#00042,1,-1)&'6'"""
"""#00049"",""=MID(#00042,1,-1)&'7'"""
"""#00050"",""Attestation d'entrée"""
"""#00051"",""Le premier test à passer."""
"""#00052"", ""Voyons si votre parc est populaire."""
"""#00053"",""La popularité est vitale."""
"""#00054"",""La taille doit être d'au moins 20 !"""
"""#00055"",""Certificat de catégorie C"""
"""#00056"",""Un test de certification commun."""
"""#00057"", ""Ça doit être populaire."""
"""#00058"",""Une popularité de 100 suffira."""
"""#00059"",""La taille doit être d'au moins 30 !"""
"""#00060"",""Certificat de catégorie B"""
"""#00061"",""Une popularité de 150 suffira."""
